time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-04-10 03:46:49.369 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,153987805184,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1554868008903, , , , ,3145728,1218, , , ,47,4,138,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , , , ,558346424,-1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-10 03:47:48.033 UTC, ,53219,2220914539,58848,2217715512,80, ,9495, ,1161420, , , , , , , , , ,9495,83, , , ,9564,4,8, ,1319,2, , , , , , , , , , ,1144548, , ,936302884242,111,18971776,936302870566,110,7728,223,734,2255716227,151731363840,97,97, , , , , ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , ,2255716227, ,1554868008903, , , , ,3145728,944892818845, ,102668729, ,438,109,25556,109,441,109, , ,3,329, , , ,2,1,2048,1,8322,219, , ,17238016,223,2255706639,2233,2, , ,98,1,1012,44,1982,3778253656,-1, , , , , , ,1152593, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1150350, , ,4,3,3, , , , , , 
2019-04-10 03:47:52.771 UTC, ,27625,3275273,58720,101920, , ,10,3,258,10,0.04, , , , , , , ,10,4, ,3,3,11,5,4, ,685,451, , , , , , , , , , , , , ,944892837090,112, ,944892831388, , , , , , ,-1,-1, , , , , ,4,40, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1554868069905, , , , ,3145728,944892837090, , ,470,0, , , ,225, , , ,3, , , , ,470, ,497468,404, , , , ,224528,307, , , , , , ,2,1531,45,2024,3072113120,-1, , , , , , ,239, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-10 03:48:41.673 UTC, ,33577,2221935601,60088,2218756296, , ,9971,7551,1184085,9484,0.01, , , , , , , ,9971,91, , ,7551,10031,481,6, ,1150360,1150352, , , , , , , , , , ,1171754,76, ,944892837090,112, ,944892831388, , , , ,2258889707,151728177152,97,97, , , , , ,4,2,1, , , , , , , , , , , , ,1, , , ,2, , , , , , , ,2258889707, ,1554868069905, ,1, , ,3145728,944896441905, , ,1167465,0, , , ,224, , , ,3, , , , ,1167465,100,48943645,15753,2096475,2, ,8493,2225579726,1160433,1044979,1, , , , ,3,1870,61,4828,2681328320,-1, , , , , , ,1183620, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,33249, , ,1150346, , , , , , , , 
2019-04-10 03:48:44.814 UTC, ,27500,3284396,59752,111168, , ,11,3,993,11,0.01, , , , , , , ,11,5, ,7,3,11,6,5, ,1413,455, , , , , , , , , , , , , ,944896582507,114,2203767240,944896572360,1,3,1,4,2213595431,151773474816,-1,-1, , , , , ,460,35157, , , , , , , , , , , , , , , , , , , , , , , , , ,2213595431, ,1554868121891, , , , ,3145728,944896582507, , ,475,32,1,32,1,226,1, , ,3,2, , , ,475, ,522714,414,10298,1, , ,8695886,1339, , , , , , ,5,3401,106,6852,2748771648,-1, , , , , , ,977, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-10 03:48:45.157 UTC, ,27500,4306476,59752,1133248, , ,488,23,975,477,0.49, , , , , , , ,488,14, , ,23,472,483,4, ,9,4, , , , , , , , , , ,449,5, ,944896582507,114,2203767240,944896572360, , , , ,2213595431,151773474816,99,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2213595431, ,1554868121891, , , , ,3145728,944896582507, , ,513,0, , , ,1, , , ,3, , , , ,513,1,196608,96, , , ,12,881207,430, , , , , , , , , , ,2796480216,-1, , , , , , ,33261, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,33249, , , , , , , , , 
2019-04-10 03:48:45.343 UTC, ,27500,3284180,59752,110872,80, ,11,4,949,11,0.01, , , , , , , ,11,5, ,2,4,11,6,5, ,1379,456, , , , , , , , , , , , , ,944896587002,115, ,944896582627, , , , , , ,-1,-1, , , , , ,462,35181, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1554868125281, , , , ,3145728,944896587002, , ,478,0, , , ,224, , , ,3, , , , ,478, ,540089,419, , , , ,7692950,1215, , , , , , ,5,3401,106,6852,2867484920,-1, , , , , , ,931, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-10 03:48:48.134 UTC, ,27500,49376532,60088,46203304, , ,38,9,158,27,0.17, , , , , , ,1,38,16, , ,8,34,26,18, ,198,51, , , , , , , , , , ,97,4, ,944896587002,115, ,944896582627, , , , ,2213599923,151773466624,99,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2213599923, ,1554868125281, ,10, , ,3145728,944896587002, , ,97,0, , , ,11, , , ,3, , , , ,97,11,56162,29, , , ,11,46070971,90, , , , , , , , ,9,318,3169603032,-1, , , , , , ,1220, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1085,114, , , , , , , , 
2019-04-10 03:59:17.766 UTC, ,27500,3284100,59752,110872, , ,11,4,951,11,0.01, , , , , , , ,11,5, ,2,4,11,6,5, ,1380,456, , , , , , , , , , , , , ,944896587002,115, ,944896582627, , , , , , ,-1,-1, , , , , ,462,35181, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1554868756922, , , , ,3145728,944896587002, , ,478,0, , , ,224, , , ,3, , , , ,478, ,540089,419, , , , ,7692950,1215, , , , , , , , , , ,687215272,-1, , , , , , ,931, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-10 04:00:03.421 UTC, ,33684,2222034708,60320,2218855296, , ,10020,7555,1186471,9525,0.01, , , , , , , ,10020,92, , ,7555,10081,531,6, ,1150359,1150352, , , , , , , , , , ,1173937,76, ,944896587002,115, ,944896582627, , , , ,2216744233,151770312704,99,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2216744233, ,1554868756922, ,1, , ,3145728,944900397421, , ,1167513,0, , , ,223, , , ,3, , , , ,1167513,100,32325154,15830,3144310,3, ,8498,2191969186,1160404, , , , , , ,1,928,45,1805,3777248928,-1, , , , , , ,1185997, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,32445, , ,1150346, ,3182, , , , , , 
